index,row names,Order 1,Order 2,Order 3,Order 4,Order 5,Order 6,Order 7,Order 8,Order 9,Order 10,Order 11,Order 12,Order 13,Order 14,Order 15,Order 16,Order 17,Order 18,Order 19,Order 20,Order 21,Order 22,Order 23,Order 24,Order 25,Order 26,Order 27,Order 28,Order 29,Order 30
0,Turns choosing,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1,turns waiting,12,8,4,17,18,18,15,13,0,13,19,4,21,1,15,18,15,20,16,4,17,15,18,18,16,2,16,10,19,19
2,number of conflicts,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
3,times going to next order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,total amount of turns,70,76,68,64,78,74,68,68,56,68,80,56,84,62,72,66,60,74,66,64,68,76,74,74,74,72,70,66,64,76
