index,row names,Order 3,Order 4,Order 7,Order 8,Order 11,Order 12,Order 15,Order 16,Order 19,Order 20,Order 23,Order 24,Order 27,Order 28,Order 31,Order 32,Order 35,Order 36,Order 39,Order 40,Order 43,Order 44,Order 47,Order 48,Order 51,Order 52,Order 55,Order 56,Order 59,Order 60,Order 63,Order 64,Order 67,Order 68,Order 71,Order 72,Order 75,Order 76,Order 79,Order 80,Order 83,Order 84,Order 87,Order 88,Order 91,Order 92,Order 95,Order 96,Order 99,Order 100,Order 103,Order 104,Order 107,Order 108,Order 111,Order 112,Order 115,Order 116,Order 119,Order 120,Order 123,Order 124,Order 127,Order 128,Order 131,Order 132,Order 135,Order 136,Order 139,Order 140,Order 143,Order 144,Order 147,Order 148,Order 151,Order 152,Order 155,Order 156,Order 159,Order 160,Order 163,Order 164,Order 167,Order 168,Order 171,Order 172,Order 175,Order 176,Order 179,Order 180,Order 183,Order 184,Order 187,Order 188,Order 191,Order 192,Order 195,Order 196,Order 199,Order 200,Order 203,Order 204,Order 207,Order 208,Order 211,Order 212,Order 215,Order 216,Order 219,Order 220,Order 223,Order 224,Order 227,Order 228,Order 231,Order 232,Order 235,Order 236,Order 239,Order 240,Order 243,Order 244,Order 247,Order 248,Order 251,Order 252,Order 255,Order 256,Order 259,Order 260,Order 263,Order 264,Order 267,Order 268,Order 271,Order 272,Order 275,Order 276,Order 279,Order 280,Order 283,Order 284,Order 287,Order 288,Order 291,Order 292,Order 295,Order 296,Order 299,Order 300,Order 303,Order 304,Order 307,Order 308,Order 311,Order 312,Order 315,Order 316,Order 319,Order 320
0,Turns choosing,1,1,4,2,4,4,6,4,1,1,3,2,4,4,7,4,1,1,4,2,4,4,6,4,1,1,2,2,4,2,4,4,1,1,3,2,5,4,6,4,1,1,4,2,4,2,6,4,1,1,4,2,4,2,6,4,1,1,2,2,4,2,4,4,1,1,3,2,4,2,6,4,1,1,4,2,4,3,6,4,1,1,2,2,4,4,6,5,1,1,4,2,4,4,4,6,1,1,3,2,4,4,6,4,1,1,2,2,4,4,6,4,1,1,2,2,4,4,6,4,1,1,4,2,4,4,8,4,1,1,4,2,4,4,6,4,1,1,2,2,4,4,4,5,1,1,2,2,4,4,6,4,1,1,4,2,4,3,6,6
1,turns moving,4,6,20,14,20,16,30,24,10,12,26,14,30,30,54,30,30,32,24,14,64,42,66,40,18,20,34,32,68,30,52,52,10,10,18,10,20,14,26,12,10,10,22,12,30,20,38,32,24,22,50,24,50,24,52,42,30,30,70,72,122,44,124,74,8,8,20,10,26,12,30,22,14,14,36,22,46,47,54,34,28,32,6,6,22,16,50,24,14,16,64,40,72,32,74,40,10,14,20,12,16,14,28,22,4,4,6,4,18,20,34,20,18,18,30,32,56,55,80,50,46,48,86,42,136,98,136,78,6,6,14,10,14,18,26,16,8,10,14,10,22,20,38,24,22,22,28,22,60,47,74,40,10,12,96,50,84,96,146,94
2,turns waiting,14,7,0,5,15,10,5,7,7,3,7,9,17,0,5,8,8,5,0,19,0,18,1,15,6,0,17,0,0,26,15,0,3,1,0,1,2,0,0,9,7,7,0,8,3,13,7,1,0,3,0,7,5,20,1,14,33,18,49,0,0,48,21,11,6,4,1,3,3,15,0,2,10,7,0,3,0,0,17,11,12,5,8,7,16,11,2,15,32,23,0,5,0,13,11,15,6,3,5,7,11,4,6,5,16,15,12,6,21,1,8,7,15,13,37,1,9,0,0,5,23,21,0,25,0,29,0,39,6,3,0,3,15,0,3,8,8,3,19,5,9,7,15,8,8,1,29,13,5,0,5,20,47,47,0,9,27,7,11,9
3,number of conflicts,0,1,0,1,0,1,0,2,0,1,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0
4,turns picking up,1,1,4,2,4,4,6,4,1,1,3,2,4,4,7,4,1,1,4,2,4,4,6,4,1,1,2,2,4,2,4,4,1,1,3,2,5,4,6,4,1,1,4,2,4,2,6,4,1,1,4,2,4,2,6,4,1,1,2,2,4,2,4,4,1,1,3,2,4,2,6,4,1,1,4,2,4,3,6,4,1,1,2,2,4,4,6,5,1,1,4,2,4,4,4,6,1,1,3,2,4,4,6,4,1,1,2,2,4,4,6,4,1,1,2,2,4,4,6,4,1,1,4,2,4,4,8,4,1,1,4,2,4,4,6,4,1,1,2,2,4,4,4,5,1,1,2,2,4,4,6,4,1,1,4,2,4,3,6,6
5,turns depositing,1,1,4,2,4,4,6,4,1,1,3,2,4,4,7,4,1,1,4,2,4,4,6,4,1,1,2,2,4,2,4,4,1,1,3,2,5,4,6,4,1,1,4,2,4,2,6,4,1,1,4,2,4,2,6,4,1,1,2,2,4,2,4,4,1,1,3,2,4,2,6,4,1,1,4,2,4,3,6,4,1,1,2,2,4,4,6,5,1,1,4,2,4,4,4,6,1,1,3,2,4,4,6,4,1,1,2,2,4,4,6,4,1,1,2,2,4,4,6,4,1,1,4,2,4,4,8,4,1,1,4,2,4,4,6,4,1,1,2,2,4,4,4,5,1,1,2,2,4,4,6,4,1,1,4,2,4,3,6,6
6,times going to next order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,total amount of turns,22,17,33,26,48,39,54,44,21,19,43,30,60,42,81,51,42,41,37,40,77,73,86,68,28,23,58,38,81,63,80,64,17,15,28,18,38,26,45,34,21,21,35,27,46,40,64,46,28,29,63,38,68,51,72,69,67,52,126,78,135,99,158,98,18,16,31,20,42,34,49,37,28,25,49,32,59,57,90,58,44,41,21,20,51,40,71,55,50,43,77,52,85,58,98,74,20,21,35,26,40,31,53,40,24,23,25,17,52,34,61,40,37,35,74,40,78,67,99,68,73,73,99,74,149,140,161,130,16,13,27,20,42,30,48,37,20,17,40,22,44,40,66,48,34,27,64,42,78,59,98,73,61,63,109,66,124,113,176,122
