index,row names,Order 1,Order 2,Order 3,Order 4,Order 5,Order 6,Order 7,Order 8,Order 9,Order 10,Order 11,Order 12,Order 13,Order 14,Order 15,Order 16,Order 17,Order 18,Order 19,Order 20,Order 21,Order 22,Order 23,Order 24,Order 25,Order 26,Order 27,Order 28,Order 29,Order 30
0,Turns choosing,2,2,3,2,4,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
1,turns moving,14,14,22,10,22,22,14,10,12,12,14,18,12,12,14,14,12,14,12,14,12,12,12,18,14,14,14,14,14,12
2,turns waiting,17,15,0,11,0,0,11,9,5,15,17,0,11,9,15,11,9,3,9,7,15,17,9,0,21,5,11,7,3,19
3,number of conflicts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,turns picking up,2,2,3,2,4,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
5,turns depositing,2,2,3,2,4,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2
6,times going to next order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,total amount of turns,38,36,32,28,35,32,32,26,24,34,38,28,30,28,36,32,28,24,28,28,34,36,28,31,42,26,32,28,24,38
