index,row names,Order 4,Order 8,Order 12,Order 16,Order 20,Order 24,Order 28,Order 32,Order 36,Order 40,Order 44,Order 48,Order 52,Order 56,Order 60,Order 64,Order 68,Order 72,Order 76,Order 80,Order 84,Order 88,Order 92,Order 96,Order 100,Order 104,Order 108,Order 112,Order 116,Order 120,Order 124,Order 128,Order 132,Order 136,Order 140,Order 144,Order 148,Order 152,Order 156,Order 160,Order 164,Order 168,Order 172,Order 176,Order 180,Order 184,Order 188,Order 192,Order 196,Order 200,Order 204,Order 208,Order 212,Order 216,Order 220,Order 224,Order 228,Order 232,Order 236,Order 240,Order 244,Order 248,Order 252,Order 256,Order 260,Order 264,Order 268,Order 272,Order 276,Order 280,Order 284,Order 288,Order 292,Order 296,Order 300,Order 304,Order 308,Order 312,Order 316,Order 320
0,Turns choosing,1,2,2,4,1,2,4,4,1,2,3,4,1,2,4,4,1,2,2,4,1,2,4,4,1,2,4,6,1,2,4,4,1,2,4,4,1,2,4,4,1,2,2,4,1,2,2,4,1,2,3,4,1,2,3,4,1,2,2,4,1,2,2,4,1,2,4,5,1,2,2,3,1,2,2,4,1,2,4,2
1,turns moving,8,10,14,25,8,18,18,26,28,16,46,32,18,20,50,30,4,8,10,12,4,20,26,28,25,22,38,50,48,50,86,78,12,8,20,24,14,20,24,38,26,12,20,42,34,30,30,54,10,15,21,16,12,10,24,20,21,18,26,38,44,62,64,100,2,4,8,12,6,12,18,34,18,24,28,48,8,52,90,62
2,turns waiting,5,9,18,6,7,5,11,12,9,17,17,23,1,11,0,21,7,3,9,9,13,0,1,5,0,9,0,0,0,21,0,7,0,5,1,0,7,5,20,7,11,1,13,0,5,15,21,7,7,4,0,11,7,0,0,7,10,15,34,17,25,5,69,17,7,9,9,9,7,3,15,4,5,11,24,12,51,7,10,53
3,number of conflicts,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4,turns picking up,1,2,2,4,1,2,4,4,1,2,3,4,1,2,4,4,1,2,2,4,1,2,4,4,1,2,4,6,1,2,4,4,1,2,4,4,1,2,4,4,1,2,2,4,1,2,2,4,1,2,3,4,1,2,3,4,1,2,2,4,1,2,2,4,1,2,4,5,1,2,2,3,1,2,2,4,1,2,4,2
5,turns depositing,1,2,2,4,1,2,4,4,1,2,3,4,1,2,4,4,1,2,2,4,1,2,4,4,1,2,4,6,1,2,4,4,1,2,4,4,1,2,4,4,1,2,2,4,1,2,2,4,1,2,3,4,1,2,3,4,1,2,2,4,1,2,2,4,1,2,4,5,1,2,2,3,1,2,2,4,1,2,4,2
6,times going to next order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,total amount of turns,17,26,39,44,19,30,42,51,41,40,73,68,23,38,63,64,15,18,26,34,21,27,40,46,29,38,51,69,52,78,99,98,16,20,34,37,25,32,57,58,41,20,40,55,43,52,58,74,21,26,31,40,23,17,34,40,35,40,67,68,73,74,140,130,13,20,30,37,17,22,40,48,27,42,59,73,63,66,113,122
