index,row names,Order 1,Order 2,Order 3,Order 4,Order 5,Order 6,Order 7,Order 8,Order 9,Order 10,Order 11,Order 12,Order 13,Order 14,Order 15,Order 16,Order 17,Order 18,Order 19,Order 20,Order 21,Order 22,Order 23,Order 24,Order 25,Order 26,Order 27,Order 28,Order 29,Order 30
0,Turns choosing,2,3,3,4,2,2,4,4,3,4,4,3,4,3,4,2,4,2,2,3,4,4,2,2,2,3,2,2,4,4
1,turns moving,16,20,20,20,14,12,22,22,18,22,28,14,30,22,24,8,18,10,10,18,22,26,12,12,14,24,12,16,20,26
2,turns waiting,12,8,4,0,18,18,0,0,0,0,0,4,0,0,0,18,0,20,16,4,0,0,18,18,16,2,16,10,0,0
3,number of conflicts,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
4,turns picking up,2,3,3,4,2,2,4,4,3,4,4,3,4,3,4,2,4,2,2,3,4,4,2,2,2,3,2,2,4,4
5,turns depositing,2,3,3,4,2,2,4,4,3,4,4,3,4,3,4,2,4,2,2,3,4,4,2,2,2,3,2,2,4,4
6,times going to next order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,total amount of turns,35,38,34,32,39,37,34,34,28,34,40,28,42,31,36,33,30,37,33,32,34,38,37,37,37,36,35,33,32,38
